DPT,ENGETA,EENGETA,Emprunt,ENGDPT,ENGVIL,TotalENG,CENFETA,EENFETA,EmpruntF,ENFDPT,ENFVIL,TotalENF
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25019.0,0.0,16183.0,0.0,41203.0
75,0.0,0.0,0.0,1461703.0,0.0,1461703.0,0.0,0.0,0.0,0.0,0.0,0.0
76,50000.0,0.0,0.0,831698.0,0.0,881698.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,20000.0,0.0,17800.0,0.0,37800.0,120000.0,0.0,0.0,313043.0,0.0,433043.0
78,60000.0,0.0,0.0,343430.0,0.0,403430.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,25000.0,23500.0,0.0,11000.0,59500.0,138362.0,0.0,176600.0,0.0,55450.0,370412.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,2000.0,0.0,1840.0,0.0,3840.0,50000.0,0.0,200000.0,0.0,0.0,250000.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,73000.0,0.0,0.0,163881.0,0.0,236881.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,13963.0,0.0,13963.0,0.0,0.0,0.0,0.0,0.0,0.0
86,24000.0,4000.0,0.0,35197.0,0.0,63197.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,22303.0,0.0,16262.0,0.0,38566.0,75000.0,0.0,184000.0,22514.0,17000.0,298514.0
88,0.0,0.0,0.0,0.0,0.0,0.0,109820.0,0.0,69000.0,228062.0,20000.0,426882.0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,20597.0,0.0,0.0,0.0,20597.0,0.0,20597.0,0.0,0.0,0.0,20597.0
